# Au,Cu,Pd,P_NO=1,H,NO_NH3,NO_CN,CO_NO_pairs,P_NO=0.1,H,NO_NH3,NO_CN,CO_NO_pairs
0.15000000000000002,0.45,0.4,,0.4556,0.4971,0.0146,0.0148,,0.442,0.1775,0.052,0.0574
0.15000000000000002,0.4,0.45,,0.5147,0.4364,0.0142,0.0142,,0.5309,0.2707,0.0336,0.0356
0.15000000000000002,0.35000000000000003,0.5,,0.5853,0.3775,0.0103,0.0103,,0.5841,0.2444,0.0246,0.0254
0.15000000000000002,0.30000000000000004,0.55,,0.6425,0.3213,0.0083,0.0084,,0.6509,0.1731,0.0169,0.0178
0.15000000000000002,0.25,0.6000000000000001,,0.6992,0.2709,0.0054,0.0054,,0.7014,0.1293,0.0122,0.0127
0.15000000000000002,0.2,0.65,,0.7536,0.2216,0.0041,0.0041,,0.7612,0.1234,0.0063,0.0063
0.15000000000000002,0.15000000000000002,0.7000000000000001,,0.8042,0.1778,0.0018,0.0018,,0.806,0.0871,0.0042,0.0043
0.15000000000000002,0.1,0.75,,0.8531,0.1322,0.0008,0.0008,,0.854,0.0587,0.0022,0.0022
0.15000000000000002,0.05,0.8,,0.8902,0.0994,0.0001,0.0001,,0.902,0.0387,0.0007,0.0008
0.15000000000000002,0.0,0.8500000000000001,,0.936,0.0521,0.0003,0.0003,,0.9392,0.0033,0.0,0.0
0.1,0.9,0.0,,0.0,0.9719,0.0015,0.0015,,0.0,0.0455,0.1603,0.2484
0.1,0.8500000000000001,0.05,,0.0376,0.9083,0.0059,0.0059,,0.0363,0.0512,0.15,0.2236
0.1,0.8,0.1,,0.0785,0.8824,0.0062,0.0062,,0.081,0.0814,0.1454,0.2037
0.1,0.75,0.15000000000000002,,0.1335,0.8261,0.0092,0.0094,,0.1284,0.0712,0.1164,0.1655
0.1,0.7000000000000001,0.2,,0.193,0.7585,0.0146,0.0148,,0.1831,0.1011,0.1179,0.1549
0.1,0.65,0.25,,0.2422,0.702,0.0151,0.0152,,0.2517,0.0767,0.0903,0.118
0.1,0.6000000000000001,0.30000000000000004,,0.3131,0.6395,0.0135,0.0137,,0.3046,0.1628,0.0893,0.1073
0.1,0.55,0.35000000000000003,,0.3708,0.5687,0.0178,0.0179,,0.3781,0.1455,0.0639,0.0737
0.1,0.5,0.4,,0.443,0.5117,0.0124,0.0124,,0.4519,0.1656,0.0513,0.0558
0.1,0.45,0.45,,0.512,0.4511,0.0096,0.0097,,0.5252,0.1571,0.0357,0.0392
0.1,0.4,0.5,,0.586,0.3842,0.0067,0.0068,,0.5774,0.2367,0.0266,0.0277
0.1,0.35000000000000003,0.55,,0.6388,0.3194,0.0078,0.0078,,0.6427,0.203,0.0171,0.0176
0.1,0.30000000000000004,0.6000000000000001,,0.7033,0.2656,0.0047,0.0047,,0.6996,0.1689,0.0113,0.0117
0.1,0.25,0.65,,0.7538,0.2289,0.0031,0.0032,,0.7763,0.1135,0.0044,0.0044
0.1,0.2,0.7000000000000001,,0.8248,0.1625,0.0012,0.0012,,0.8186,0.1131,0.0032,0.0032
0.1,0.15000000000000002,0.75,,0.8618,0.128,0.0009,0.0009,,0.868,0.0645,0.0012,0.0013
0.1,0.1,0.8,,0.9097,0.0815,0.0,0.0,,0.9064,0.0426,0.0009,0.0009
0.1,0.05,0.8500000000000001,,0.9374,0.049,0.0001,0.0001,,0.9428,0.0046,0.0,0.0
0.1,0.0,0.9,,0.9745,0.0176,0.0,0.0,,0.9689,0.0002,0.0,0.0
0.05,0.9500000000000001,0.0,,0.0,0.9726,0.0009,0.0009,,0.0,0.067,0.1855,0.2748
0.05,0.9,0.05,,0.028,0.9469,0.0014,0.0014,,0.0243,0.0421,0.1648,0.2522
0.05,0.8500000000000001,0.1,,0.0594,0.8971,0.0049,0.0049,,0.0591,0.0409,0.1426,0.224
0.05,0.8,0.15000000000000002,,0.1042,0.8579,0.0047,0.0047,,0.0985,0.0489,0.1396,0.2022
0.05,0.75,0.2,,0.1487,0.807,0.0097,0.0098,,0.1528,0.0562,0.1229,0.1722
0.05,0.7000000000000001,0.25,,0.2091,0.7539,0.0093,0.0093,,0.2114,0.0834,0.1152,0.1507
0.05,0.65,0.30000000000000004,,0.2876,0.6612,0.0098,0.0098,,0.2761,0.1371,0.1054,0.1271
0.05,0.6000000000000001,0.35000000000000003,,0.3527,0.6079,0.0097,0.0097,,0.3535,0.165,0.0827,0.0954
0.05,0.55,0.4,,0.4116,0.5543,0.0092,0.0094,,0.4259,0.1533,0.0615,0.0699
0.05,0.5,0.45,,0.5028,0.4678,0.0061,0.0061,,0.5009,0.2099,0.0445,0.0477
0.05,0.45,0.5,,0.5698,0.4062,0.0059,0.0059,,0.5715,0.1642,0.0275,0.03
0.05,0.4,0.55,,0.6445,0.3314,0.0044,0.0044,,0.6491,0.208,0.0171,0.0174
0.05,0.35000000000000003,0.6000000000000001,,0.7118,0.2733,0.0021,0.0021,,0.7147,0.1289,0.0103,0.0107
0.05,0.30000000000000004,0.65,,0.7771,0.2147,0.0012,0.0012,,0.775,0.1442,0.0038,0.0038
0.05,0.25,0.7000000000000001,,0.825,0.1611,0.0005,0.0005,,0.8349,0.0533,0.0019,0.0019
0.05,0.2,0.75,,0.874,0.1165,0.0001,0.0001,,0.8762,0.0532,0.0011,0.0011
0.05,0.15000000000000002,0.8,,0.9165,0.0781,0.0003,0.0003,,0.9117,0.0272,0.0003,0.0003
0.05,0.1,0.8500000000000001,,0.9497,0.0432,0.0,0.0,,0.9442,0.0083,0.0002,0.0002
0.05,0.05,0.9,,0.9722,0.0227,0.0,0.0,,0.9753,0.0002,0.0,0.0
0.05,0.0,0.9500000000000001,,0.9907,0.0015,0.0,0.0,,0.9938,0.0,0.0,0.0
0.0,1.0,0.0,,0.0,0.9648,0.0003,0.0003,,0.0,0.089,0.1988,0.2872
0.0,0.9500000000000001,0.05,,0.0085,0.9529,0.0009,0.0009,,0.0076,0.0441,0.1798,0.2827
0.0,0.9,0.1,,0.026,0.9361,0.0028,0.0028,,0.0298,0.0448,0.1658,0.262
0.0,0.8500000000000001,0.15000000000000002,,0.0624,0.9065,0.0032,0.0032,,0.0648,0.0339,0.1457,0.2309
0.0,0.8,0.2,,0.114,0.8207,0.0096,0.0097,,0.1096,0.0464,0.1286,0.1986
0.0,0.75,0.25,,0.1648,0.7961,0.0082,0.0084,,0.1641,0.0523,0.1193,0.1745
0.0,0.7000000000000001,0.30000000000000004,,0.2172,0.742,0.0123,0.0123,,0.2356,0.0772,0.1097,0.1476
0.0,0.65,0.35000000000000003,,0.2976,0.6565,0.0095,0.0095,,0.2941,0.0977,0.0957,0.1199
0.0,0.6000000000000001,0.4,,0.3805,0.5742,0.0097,0.0098,,0.3742,0.0853,0.0659,0.081
0.0,0.55,0.45,,0.4672,0.5023,0.0057,0.0057,,0.4694,0.18,0.0501,0.0556
0.0,0.5,0.5,,0.5431,0.4285,0.0047,0.0047,,0.5484,0.1854,0.0342,0.0361
0.0,0.45,0.55,,0.6186,0.3641,0.0028,0.0028,,0.62,0.2182,0.0196,0.0207
0.0,0.4,0.6000000000000001,,0.6895,0.2785,0.0027,0.0027,,0.6957,0.2112,0.0088,0.0092
0.0,0.35000000000000003,0.65,,0.7616,0.2225,0.0015,0.0015,,0.762,0.1606,0.0044,0.0044
0.0,0.30000000000000004,0.7000000000000001,,0.8302,0.1611,0.0002,0.0002,,0.8316,0.0581,0.0022,0.0024
0.0,0.25,0.75,,0.8757,0.116,0.0,0.0,,0.873,0.039,0.0013,0.0013
0.0,0.2,0.8,,0.9181,0.0762,0.0,0.0,,0.9144,0.0241,0.0005,0.0005
0.0,0.15000000000000002,0.8500000000000001,,0.9502,0.0402,0.0,0.0,,0.9502,0.0037,0.0,0.0
0.0,0.1,0.9,,0.976,0.017,0.0,0.0,,0.9766,0.0002,0.0,0.0
0.0,0.05,0.9500000000000001,,0.9941,0.0006,0.0,0.0,,0.9937,0.0003,0.0,0.0
0.0,0.0,1.0,,1.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0
